,x,y,h,s
292,-0.014961193020072462,-1.526145777325612,178.19000225910256,67.08390556481723
293,-0.015155498345979158,-1.541780176518826,179.95001201937606,66.84337020033657
294,-0.015544105147691225,-1.5578006036276353,181.6900022494889,66.60315974564217
295,-0.015738410825732112,-1.5734350177484204,183.4400022458391,66.36327781788734
296,-0.01612702233016557,-1.6048968790557838,186.92004374260287,65.88456371284795
297,-0.01651562977150288,-1.62091734113113,188.66003397306332,65.64574505858123
298,-0.016515634230646423,-1.6365517847152997,190.39001443740594,65.40726079700245
299,-0.01690424197806759,-1.6523792466365341,192.1100461715406,65.16913588271579
300,-0.01748715638342764,-1.6836481738490499,195.55999733508705,64.69402528086354
301,-0.017875769359633746,-1.7151101396464286,198.98004127288027,64.22031341265313
302,-0.018070075985744023,-1.7305516162769812,200.69000220425286,63.98400464319724
303,-0.018458684798914188,-1.746379126647295,202.40002417386054,63.74804774131693
304,-0.018652991659610204,-1.7618206172900857,204.10003637594042,63.51244867315712
305,-0.018847298758640888,-1.7774551290046285,205.80004858011318,63.27717797993381
306,-0.019235907931552266,-1.792896633426404,207.4900510168184,63.04221158877315
307,-0.019430215213500857,-1.8085311589881738,209.18005345333455,62.80752133088146
308,-0.020401747465841762,-1.8706833065956394,215.90002413837001,61.872089608032574
309,-0.020596055171424436,-1.8861248545124192,217.57000704416242,61.63910437889902
310,-0.021178973432722473,-1.917007971776025,220.90002412413335,61.17420968897867
311,-0.021373281522125726,-1.9324495410574993,222.55999726420566,60.94233968288886
312,-0.021761892273001703,-1.9476981050278568,224.2200314383053,60.71084783229834
313,-0.022150503240252438,-1.9631396873364464,225.8699948139015,60.47966794676792
314,-0.02312204034627009,-2.0247130737740653,232.44000211803112,59.55806072051646
315,-0.023316349206938872,-2.0399616792502306,234.0800167621481,59.328545760934446
316,-0.02409357318444261,-2.0706519178749696,237.33001675084205,58.87033433895238
317,-0.0240935792826899,-2.085900540439819,238.95001186475304,58.64171597532019
318,-0.024482191568855297,-2.1011491707925005,240.5700069757668,58.41348273669721
319,-0.024870804172216116,-2.116397808924626,242.19000208871466,58.18563394295259
320,-0.025842345888350337,-2.1771994047863616,248.6100460134853,57.2774128368531
321,-0.026036655758486373,-2.1922550571570256,250.20001182838558,57.051247582056874
322,-0.026813882808208983,-2.2223663880806774,253.39001425973333,56.59983843902226
323,-0.027008192982049144,-2.2376150739748013,254.97003134369533,56.374596568372176
324,-0.027202503155889308,-2.252863767464584,256.5500484277391,56.14972775010565
325,-0.02778542088762598,-2.2679194540948053,258.13000447681554,55.925198423518054
326,-0.0281740420285428,-2.298030842687068,261.2700191139271,55.477189565404665
327,-0.02856265661278348,-2.313086548149821,262.84002643340165,55.25371227922404
328,-0.028756967405416566,-2.327949242815683,264.40002398647266,55.03050588061221
329,-0.028951278272908314,-2.343197974106514,265.96002153995886,54.807539775733545
330,-0.029534204375123607,-2.3731164111977647,269.0700068800717,54.362608165195155
331,-0.029922819553693015,-2.387786112937851,270.61004593722413,54.14070653587522
332,-0.030505738922410642,-2.403034870107136,272.16003372476706,53.91910249929806
333,-0.030505746344686932,-2.4178976011179856,273.7000117460024,53.69776849743533
334,-0.0316716014858055,-2.477541596906106,279.82000684013184,52.81585096719027
335,-0.03225452203519924,-2.4922113410376157,281.34002636614593,52.59627208375501
336,-0.03264314618068134,-2.5221298920298083,284.3699946151651,52.15796861143439
337,-0.03322606746278458,-2.5367996533936785,285.8800043753987,51.93936724253631
338,-0.033420379845976296,-2.5518554523350327,287.3900141354363,51.72111653858597
339,-0.03361469226810887,-2.5663322083326254,288.8900141290404,51.50316967151375
340,-0.03419761408288625,-2.5813880173940795,290.3900141229227,51.28546965456295
341,-0.034586239463072585,-2.6107275866885558,293.3699945798149,50.85099227908653
342,-0.03478055228448855,-2.6255903972431716,294.86004584271507,50.63428229451051
343,-0.0351691700217932,-2.6402601991863053,296.3500360711666,50.417843810071396
344,-0.035557787889610545,-2.655123019445504,297.83001653388885,50.20176857743112
345,-0.03614071911627923,-2.684462640933018,300.7700189624962,49.77071139036251
346,-0.03652933743455998,-2.698939446102532,302.24005069557825,49.55551328215427
347,-0.03691795587648911,-2.7138022896282,303.7100213916599,49.340567401749794
348,-0.03711226940978048,-2.7282791040398715,305.17004335767916,49.12598541533934
349,-0.03788950697744324,-2.7574257644424027,308.0800164900541,48.69801367227036
350,-0.03808382085312287,-2.7722886264687676,309.5300286906621,48.48452506906459
351,-0.03847243995489418,-2.7867654632461516,310.98004089125106,48.271376529347044
352,-0.038861059245325465,-2.8014353182814244,312.4200433261074,48.05855450922257
353,-0.0390553733511027,-2.8161051800131953,313.8600457607569,47.846025071507135
354,-0.03944399291880773,-2.830389011604942,315.2900384312559,47.63379355949074
355,-0.03983261250845677,-2.8450588820590137,316.7200310984673,47.42188294124822
356,-0.040026926944780286,-2.859535742889604,318.15002376807956,47.210315502589545
357,-0.040609852485618166,-2.8742056265087395,319.58001643847405,46.99904141910789
358,-0.04099848167282693,-2.902966350818687,322.4100335136051,46.577301681620746
359,-0.04158140775608666,-2.9176362494919377,323.8300164191366,46.36694572833319
360,-0.04177572252855805,-2.9321131290910682,325.2300408257724,46.15694572413511
361,-0.0419700374783493,-2.9463970032023794,326.6400139626944,45.94727207531184
362,-0.042747279281039885,-2.975350794255424,329.4400017440111,45.528850766162996
363,-0.04313590021930974,-2.9898276946881883,330.8300163842407,45.320094230728486
364,-0.04352452139991636,-3.0039185680943126,332.22003102600866,45.11172919301057
365,-0.043718836868534346,-3.0185884978520363,333.6100456681649,44.90373841505827
366,-0.0444960798567599,-3.047156299814155,336.36999438485765,44.4885365416576
367,-0.04469039563433802,-3.061440210120896,337.7499992608333,44.281388249658136
368,-0.045273323444300635,-3.075724121822877,339.1199943713737,44.07460535750389
369,-0.04546763939344605,-3.0902010566213067,340.49005051725214,43.868190953210664
370,-0.046244883624969,-3.118768901117843,343.2100212052505,43.456277971325534
371,-0.046439199863609656,-3.1330528325499905,344.5700065504995,43.2506504152259
372,-0.0468278222135241,-3.1471437480875752,345.92004316450453,43.04529257310428
