,timeUS,lat,lon,alt
1007,66154899,-35.3632649,149.1652374,584.8499755859375
1008,66174892,-35.3632649,149.1652374,584.8499755859375
1009,66194885,0.0,0.0,0.0
1011,66214879,-35.3632649,149.1652374,584.85
1013,66234872,-35.3632649,149.1652374,584.8499755859375
1014,66254865,-35.3632649,149.1652374,584.8499755859375
1015,66274859,-35.3632649,149.1652374,584.8499755859375
1016,66294852,0.0,0.0,0.0
1018,66314845,-35.3632649,149.1652374,584.8499755859375
1019,66334838,-35.3632649,149.1652374,584.8499755859375
1020,66354832,-35.3632649,149.1652374,584.8499755859375
1021,66374825,-35.3632649,149.1652374,584.8499755859375
1022,66394818,0.0,0.0,0.0
1024,66414812,-35.3632649,149.1652374,584.85
1026,66434805,-35.3632649,149.1652374,584.8499755859375
1027,66454798,-35.3632649,149.1652374,584.8499755859375
1028,66474791,-35.3632649,149.1652374,584.8499755859375
1029,66494785,0.0,0.0,0.0
1031,66514778,-35.3632649,149.1652374,584.8499755859375
1032,66534771,-35.3632649,149.1652374,584.8499755859375
1033,66554764,-35.3632649,149.1652374,584.8499755859375
1034,66574758,-35.3632649,149.1652374,584.8499755859375
1035,66594751,0.0,0.0,0.0
1037,66614744,-35.3632649,149.1652374,584.85
1039,66634738,-35.3632649,149.1652374,584.8499755859375
1040,66654731,-35.3632649,149.1652374,584.8499755859375
1041,66674724,-35.3632649,149.1652374,584.8499755859375
1042,66694717,0.0,0.0,0.0
1044,66714711,-35.3632649,149.1652374,584.8499755859375
1045,66734704,-35.3632649,149.1652374,584.8499755859375
1046,66754697,-35.3632649,149.1652374,584.8499755859375
1047,66774691,-35.3632649,149.1652374,584.8499755859375
1048,66794684,0.0,0.0,0.0
1050,66814677,-35.3632649,149.1652374,584.85
1052,66834670,-35.3632649,149.1652374,584.8499755859375
1053,66854664,-35.3632649,149.1652374,584.8499755859375
1054,66874657,-35.3632649,149.1652374,584.8499755859375
1055,66894650,0.0,0.0,0.0
1057,66914644,-35.3632649,149.1652374,584.8499755859375
1058,66934637,-35.3632649,149.1652374,584.8499755859375
1059,66954630,-35.3632649,149.1652374,584.8499755859375
1060,66974623,-35.3632649,149.1652374,584.8499755859375
1061,66994617,0.0,0.0,0.0
1063,67014610,-35.3632649,149.1652374,584.85
1065,67034603,-35.3632649,149.1652374,584.8499755859375
1066,67054596,-35.3632649,149.1652374,584.8499755859375
1067,67074590,-35.3632649,149.1652374,584.8499755859375
1068,67094583,0.0,0.0,0.0
1070,67114576,-35.3632649,149.1652374,584.8499755859375
1071,67134570,-35.3632649,149.1652374,584.8499755859375
1072,67154563,-35.3632649,149.1652374,584.8499755859375
1073,67174556,-35.3632649,149.1652374,584.8499755859375
1074,67194549,0.0,0.0,0.0
1076,67214543,-35.3632649,149.1652374,584.85
1078,67234536,-35.3632649,149.1652374,584.8499755859375
1079,67254529,-35.3632649,149.1652374,584.8499755859375
1080,67274523,-35.3632649,149.1652374,584.8499755859375
1081,67294516,0.0,0.0,0.0
